"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
13820,"City","Hispanic","00to0509",0,-0.06741,0,-0.11598
13820,"City","Hispanic","0509to1014",0,0.34547,0,0.06119
13820,"City","White","00to0509",0,0.09378,0,0.08682
13820,"City","White","0509to1014",1,0.20409,0,-0.0115
13820,"Metro","All","00to0509",0,-0.00734,0,0.00886
13820,"Metro","All","0509to1014",1,0.12851,1,0.03847
13820,"Metro","Black","00to0509",0,-0.01673,0,0.01642
13820,"Metro","Black","0509to1014",0,0.03942,1,0.09721
13820,"Metro","Hispanic","00to0509",0,0.02171,0,-0.03257
13820,"Metro","Hispanic","0509to1014",1,0.32803,0,0.01782
13820,"Metro","White","00to0509",1,0.02598,1,0.01358
13820,"Metro","White","0509to1014",1,0.23307,0,-8e-04
13820,"Suburb","All","00to0509",0,0.00333,-1,-0.00948
13820,"Suburb","All","0509to1014",1,0.20831,1,0.01872
13820,"Suburb","Black","00to0509",0,-0.02023,-1,-0.0347
13820,"Suburb","Black","0509to1014",1,0.08816,1,0.0485
13820,"Suburb","Hispanic","00to0509",1,0.09393,0,0.00566
13820,"Suburb","Hispanic","0509to1014",1,0.33655,0,0.00996
13820,"Suburb","White","00to0509",0,0.00944,0,0.00096
13820,"Suburb","White","0509to1014",1,0.2491,1,0.00575
14260,"City","All","00to0509",1,0.35394,NA,0
14260,"City","All","0509to1014",0,0.06477,1,0.13323
14260,"City","Black","00to0509",0,0.59733,NA,0
14260,"City","Black","0509to1014",0,-0.05966,1,0.4381
14260,"City","Hispanic","00to0509",1,0.53848,NA,0
14260,"City","Hispanic","0509to1014",0,-0.09171,1,0.22594
14260,"City","White","00to0509",1,0.2995,NA,0
14260,"City","White","0509to1014",1,0.10124,1,0.09155
14260,"Metro","All","00to0509",1,0.18634,1,0.0252
14260,"Metro","All","0509to1014",1,0.14514,1,0.07639
14260,"Metro","Black","00to0509",0,0.36527,0,0
14260,"Metro","Black","0509to1014",0,0.1602,1,0.4034
14260,"Metro","Hispanic","00to0509",1,0.22057,1,0.05544
14260,"Metro","Hispanic","0509to1014",1,0.19442,1,0.091
14260,"Metro","White","00to0509",1,0.15757,1,0.01542
14260,"Metro","White","0509to1014",1,0.13257,1,0.06484
14260,"Suburb","All","00to0509",1,0.10376,1,0.03755
14260,"Suburb","All","0509to1014",1,0.19075,1,0.0514
14260,"Suburb","Black","00to0509",0,-0.08333,0,0
14260,"Suburb","Black","0509to1014",0,0.51773,0,0.14894
14260,"Suburb","Hispanic","00to0509",1,0.15363,1,0.06833
14260,"Suburb","Hispanic","0509to1014",1,0.2589,1,0.0622
14260,"Suburb","White","00to0509",1,0.07426,1,0.02447
14260,"Suburb","White","0509to1014",1,0.16604,1,0.05076
14460,"City","All","00to0509",1,0.03958,1,0.04974
14460,"City","All","0509to1014",1,0.08443,0,-0.00258
14460,"City","Black","00to0509",0,0.05625,1,0.09823
14460,"City","Black","0509to1014",0,0.07547,-1,-0.03692
14460,"City","Hispanic","00to0509",0,0.02272,1,0.06376
14460,"City","Hispanic","0509to1014",0,0.06753,-1,-0.05931
14460,"City","White","00to0509",0,0.0081,-1,-0.01219
14460,"City","White","0509to1014",1,0.09212,1,0.0599
14460,"Metro","All","00to0509",1,0.01716,1,0.02555
14460,"Metro","All","0509to1014",1,0.04618,0,-0.00308
14460,"Metro","Black","00to0509",0,0.01245,1,0.05856
14460,"Metro","Black","0509to1014",0,0.0401,-1,-0.02458
14460,"Metro","Hispanic","00to0509",0,-0.02212,1,0.05105
14460,"Metro","Hispanic","0509to1014",0,0.01328,-1,-0.02957
14460,"Metro","White","00to0509",1,0.0124,0,0.00023
14460,"Metro","White","0509to1014",1,0.0298,1,0.00961
14460,"Suburb","All","00to0509",0,0.00729,1,0.01499
14460,"Suburb","All","0509to1014",1,0.0346,0,-0.00209
14460,"Suburb","Black","00to0509",0,-0.05778,-1,-0.0171
14460,"Suburb","Black","0509to1014",0,0.06529,1,0.02418
14460,"Suburb","Hispanic","00to0509",0,-0.04335,1,0.04887
14460,"Suburb","Hispanic","0509to1014",0,-0.01634,0,-0.01606
14460,"Suburb","White","00to0509",1,0.01193,1,0.00265
14460,"Suburb","White","0509to1014",1,0.01713,0,-0.00094
14860,"City","All","00to0509",0,-0.00363,1,0.02819
14860,"City","All","0509to1014",1,0.13765,0,-0.01445
14860,"City","Black","00to0509",0,0.12103,1,0.05837
14860,"City","Black","0509to1014",0,0.05867,0,-0.0421
14860,"City","Hispanic","00to0509",-1,-0.12122,0,0.01945
14860,"City","Hispanic","0509to1014",1,0.18,0,-0.02054
14860,"City","White","00to0509",0,0.04235,0,0.01482
14860,"City","White","0509to1014",0,0.02473,0,-0.00881
