"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
13820,"City","All",0.00473,"0",0.08174,"0",0.08646,"1",0.04616,"1",0.1256,"1",0.17176,"1"
13820,"City","Black",0.00648,"0",0.04764,"0",0.05412,"0",0.05373,"1",0.15704,"1",0.21076,"1"
13820,"City","Hispanic",-0.06741,"0",0.34547,"0",0.27806,"0",-0.11598,"0",0.06119,"0",-0.05479,"0"
13820,"City","White",0.09378,"0",0.20409,"1",0.29787,"1",0.08682,"0",-0.0115,"0",0.07532,"1"
13820,"Metro","All",-0.00734,"0",0.12851,"1",0.12117,"1",0.00886,"0",0.03847,"1",0.04733,"1"
13820,"Metro","Black",-0.01673,"0",0.03942,"0",0.02269,"0",0.01642,"0",0.09721,"1",0.11363,"1"
13820,"Metro","Hispanic",0.02171,"0",0.32803,"1",0.34974,"1",-0.03257,"0",0.01782,"0",-0.01474,"0"
13820,"Metro","White",0.02598,"1",0.23307,"1",0.25906,"1",0.01358,"1",-8e-04,"0",0.01278,"1"
13820,"Suburb","All",0.00333,"0",0.20831,"1",0.21165,"1",-0.00948,"-1",0.01872,"1",0.00924,"1"
13820,"Suburb","Black",-0.02023,"0",0.08816,"1",0.06793,"1",-0.0347,"-1",0.0485,"1",0.01381,"0"
13820,"Suburb","Hispanic",0.09393,"1",0.33655,"1",0.43048,"1",0.00566,"0",0.00996,"0",0.01562,"0"
13820,"Suburb","White",0.00944,"0",0.2491,"1",0.25855,"1",0.00096,"0",0.00575,"1",0.00671,"1"
14260,"City","All",0.35394,"1",0.06477,"0",0.41871,"1",0,"#DIV/0!",0.13323,"1",0.13323,"1"
14260,"City","Black",0.59733,"0",-0.05966,"0",0.53767,"1",0,"#DIV/0!",0.4381,"1",0.4381,"1"
14260,"City","Hispanic",0.53848,"1",-0.09171,"0",0.44677,"1",0,"#DIV/0!",0.22594,"1",0.22594,"1"
14260,"City","White",0.2995,"1",0.10124,"1",0.40074,"1",0,"#DIV/0!",0.09155,"1",0.09155,"1"
14260,"Metro","All",0.18634,"1",0.14514,"1",0.33147,"1",0.0252,"1",0.07639,"1",0.10159,"1"
