"cbsa","geotype","groups","yr","poor","poor20","poor20sh","poor40","poor40sh"
10580,"Metro","All","2000",71989,31840,0.44229,5465,0.07591
10580,"Metro","All","2005_09",83913,38661,0.46073,11418,0.13607
10580,"Metro","All","2010_14",95492,46494,0.48689,13525,0.14163
10580,"Metro","Black","2000",14379,11959,0.8317,2478,0.17233
10580,"Metro","Black","2005_09",15985,12763,0.79844,4815,0.30122
10580,"Metro","Black","2010_14",18574,15762,0.84861,6784,0.36524
10580,"Metro","Hispanic","2000",4997,3536,0.70762,811,0.1623
10580,"Metro","Hispanic","2005_09",7012,5285,0.75371,2187,0.31189
10580,"Metro","Hispanic","2010_14",10364,7519,0.72549,2464,0.23775
10580,"Metro","White","2000",48454,14277,0.29465,1800,0.03715
10580,"Metro","White","2005_09",55444,18671,0.33675,4354,0.07853
10580,"Metro","White","2010_14",56769,17414,0.30675,3043,0.0536
10580,"Suburb","All","2000",53398,16215,0.30366,2778,0.05202
10580,"Suburb","All","2005_09",62149,20948,0.33706,4451,0.07162
10580,"Suburb","All","2010_14",72114,25639,0.35553,5205,0.07218
10580,"Suburb","Black","2000",6385,4495,0.70399,1230,0.19264
10580,"Suburb","Black","2005_09",7656,5361,0.70024,1779,0.23237
10580,"Suburb","Black","2010_14",9605,7133,0.74263,2248,0.23404
10580,"Suburb","Hispanic","2000",3344,2132,0.63756,562,0.16806
10580,"Suburb","Hispanic","2005_09",5253,3696,0.7036,1567,0.29831
10580,"Suburb","Hispanic","2010_14",7344,4808,0.65468,1228,0.16721
10580,"Suburb","White","2000",40772,8528,0.20916,879,0.02156
10580,"Suburb","White","2005_09",45091,10601,0.2351,1098,0.02435
10580,"Suburb","White","2010_14",48900,11175,0.22853,1346,0.02753
10740,"City","All","2000",59214,27041,0.45667,3233,0.0546
10740,"City","All","2005_09",78690,42774,0.54358,7689,0.09771
10740,"City","All","2010_14",97680,64894,0.66435,13943,0.14274
10740,"City","Black","2000",2660,1374,0.51654,198,0.07444
10740,"City","Black","2005_09",5145,2784,0.54111,322,0.06259
10740,"City","Black","2010_14",4491,2833,0.63082,369,0.08216
10740,"City","Hispanic","2000",32973,17216,0.52212,2347,0.07118
10740,"City","Hispanic","2005_09",45029,26682,0.59255,4761,0.10573
10740,"City","Hispanic","2010_14",59020,43178,0.73158,9540,0.16164
10740,"City","White","2000",17394,5438,0.31264,561,0.03225
10740,"City","White","2005_09",21049,8884,0.42206,1632,0.07753
10740,"City","White","2010_14",25166,12831,0.50985,2179,0.08659
10740,"Metro","All","2000",99615,47057,0.47239,5149,0.05169
10740,"Metro","All","2005_09",121396,63668,0.52447,9114,0.07508
10740,"Metro","All","2010_14",165555,106166,0.64127,19991,0.12075
10740,"Metro","Black","2000",3118,1558,0.49968,199,0.06382
10740,"Metro","Black","2005_09",5909,2880,0.48739,322,0.05449
10740,"Metro","Black","2010_14",5446,3100,0.56923,396,0.07271
10740,"Metro","Hispanic","2000",56323,28612,0.508,2348,0.04169
10740,"Metro","Hispanic","2005_09",70441,40348,0.57279,4802,0.06817
10740,"Metro","Hispanic","2010_14",99213,70162,0.70719,13476,0.13583
10740,"Metro","White","2000",26754,7894,0.29506,581,0.02172
10740,"Metro","White","2005_09",31329,11841,0.37796,1647,0.05257
10740,"Metro","White","2010_14",42574,20280,0.47635,2673,0.06278
10740,"Suburb","All","2000",40401,20016,0.49543,1916,0.04742
10740,"Suburb","All","2005_09",42706,20894,0.48925,1425,0.03337
10740,"Suburb","All","2010_14",67875,41272,0.60806,6048,0.0891
10740,"Suburb","Black","2000",458,184,0.40175,1,0.00218
10740,"Suburb","Black","2005_09",764,96,0.12565,0,0
10740,"Suburb","Black","2010_14",955,267,0.27958,27,0.02827
10740,"Suburb","Hispanic","2000",23350,11396,0.48805,1,4e-05
10740,"Suburb","Hispanic","2005_09",25412,13666,0.53778,41,0.00161
10740,"Suburb","Hispanic","2010_14",40193,26984,0.67136,3936,0.09793
10740,"Suburb","White","2000",9360,2456,0.26239,20,0.00214
10740,"Suburb","White","2005_09",10280,2957,0.28765,15,0.00146
10740,"Suburb","White","2010_14",17408,7449,0.42791,494,0.02838
10900,"City","All","2000",18267,11221,0.61428,2182,0.11945
10900,"City","All","2005_09",24571,19644,0.79948,4097,0.16674
10900,"City","All","2010_14",29306,25582,0.87293,7438,0.2538
10900,"City","Black","2000",2229,1566,0.70256,332,0.14895
10900,"City","Black","2005_09",2767,2425,0.8764,610,0.22046
10900,"City","Black","2010_14",4893,4449,0.90926,1438,0.29389
10900,"City","Hispanic","2000",8730,6456,0.73952,1346,0.15418
10900,"City","Hispanic","2005_09",14036,12471,0.8885,1846,0.13152
10900,"City","Hispanic","2010_14",19896,18117,0.91059,5632,0.28307
10900,"City","White","2000",6659,3035,0.45577,467,0.07013
10900,"City","White","2005_09",7537,4773,0.63328,1583,0.21003
10900,"City","White","2010_14",4841,3378,0.69779,577,0.11919
10900,"Metro","All","2000",59036,19567,0.33144,5502,0.0932
10900,"Metro","All","2005_09",70597,29357,0.41584,6941,0.09832
10900,"Metro","All","2010_14",89408,40984,0.45839,14943,0.16713
10900,"Metro","Black","2000",4444,2478,0.55761,503,0.11319
10900,"Metro","Black","2005_09",6088,3595,0.59051,736,0.12089
10900,"Metro","Black","2010_14",10072,7066,0.70155,2672,0.26529
10900,"Metro","Hispanic","2000",15326,10358,0.67584,3176,0.20723
10900,"Metro","Hispanic","2005_09",23202,16608,0.7158,3696,0.1593
10900,"Metro","Hispanic","2010_14",34021,26212,0.77047,10214,0.30023
10900,"Metro","White","2000",37262,6264,0.16811,1690,0.04535
10900,"Metro","White","2005_09",39581,8888,0.22455,2409,0.06086
10900,"Metro","White","2010_14",43419,7900,0.18195,2398,0.05523
10900,"Suburb","All","2000",40769,8346,0.20471,3320,0.08143
10900,"Suburb","All","2005_09",46026,9713,0.21103,2844,0.06179
10900,"Suburb","All","2010_14",60102,15402,0.25626,7505,0.12487
10900,"Suburb","Black","2000",2215,912,0.41174,171,0.0772
10900,"Suburb","Black","2005_09",3321,1170,0.3523,126,0.03794
10900,"Suburb","Black","2010_14",5179,2617,0.50531,1234,0.23827
10900,"Suburb","Hispanic","2000",6596,3902,0.59157,1830,0.27744
10900,"Suburb","Hispanic","2005_09",9166,4137,0.45134,1850,0.20183
10900,"Suburb","Hispanic","2010_14",14125,8095,0.5731,4582,0.32439
10900,"Suburb","White","2000",30603,3229,0.10551,1223,0.03996
10900,"Suburb","White","2005_09",32044,4115,0.12842,826,0.02578
10900,"Suburb","White","2010_14",38578,4522,0.11722,1821,0.0472
12060,"City","All","2000",88750,70729,0.79695,32213,0.36296
12060,"City","All","2005_09",102920,77096,0.74909,34870,0.33881
12060,"City","All","2010_14",97651,79798,0.81718,39816,0.40774
12060,"City","Black","2000",74069,64232,0.86719,30367,0.40998
12060,"City","Black","2005_09",82056,69738,0.84988,31484,0.38369
12060,"City","Black","2010_14",75806,67853,0.89509,35334,0.46611
12060,"City","Hispanic","2000",4144,2899,0.69957,753,0.18171
12060,"City","Hispanic","2005_09",6387,3062,0.47941,1725,0.27008
12060,"City","Hispanic","2010_14",6753,5023,0.74382,2566,0.37998
12060,"City","White","2000",8483,2552,0.30084,672,0.07922
12060,"City","White","2005_09",12563,3325,0.26467,1201,0.0956
12060,"City","White","2010_14",12103,4886,0.4037,1399,0.11559
12060,"Metro","All","2000",392430,113986,0.29046,39038,0.09948
12060,"Metro","All","2005_09",616692,243182,0.39433,39519,0.06408
12060,"Metro","All","2010_14",834783,450928,0.54017,89724,0.10748
12060,"Metro","Black","2000",191349,92072,0.48117,36038,0.18834
12060,"Metro","Black","2005_09",291751,146441,0.50194,34036,0.11666
12060,"Metro","Black","2010_14",381836,249683,0.6539,63447,0.16616
12060,"Metro","Hispanic","2000",48678,10249,0.21055,1211,0.02488
12060,"Metro","Hispanic","2005_09",114219,53363,0.4672,2439,0.02135
12060,"Metro","Hispanic","2010_14",165110,104822,0.63486,14939,0.09048
12060,"Metro","White","2000",131828,8820,0.06691,1282,0.00972
12060,"Metro","White","2005_09",181258,36728,0.20263,2559,0.01412
12060,"Metro","White","2010_14",238200,73703,0.30942,5910,0.02481
12060,"Suburb","All","2000",303680,43257,0.14244,6825,0.02247
12060,"Suburb","All","2005_09",513772,166086,0.32327,4649,0.00905
12060,"Suburb","All","2010_14",737132,371130,0.50348,49908,0.06771
12060,"Suburb","Black","2000",117280,27840,0.23738,5671,0.04835
12060,"Suburb","Black","2005_09",209695,76703,0.36578,2552,0.01217
12060,"Suburb","Black","2010_14",306030,181830,0.59416,28113,0.09186
12060,"Suburb","Hispanic","2000",44534,7350,0.16504,458,0.01028
12060,"Suburb","Hispanic","2005_09",107832,50301,0.46648,714,0.00662
