cbsa,metro,geotype,group,year,poor,_20plus_poor,_20plus_poor_share,_40plus_poor,_40plus_poor_share
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Hispanic,2000,48678.00000,10249.00000,0.21055,1211.00000,0.02488
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Hispanic,2005-09,114219.00000,53363.00000,0.46720,2439.00000,0.02135
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Hispanic,2010-14,165110.00000,104822.00000,0.63486,14939.00000,0.09048
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Non-Hispanic White,2000,131828.00000,8820.00000,0.06691,1282.00000,0.00972
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Non-Hispanic White,2005-09,181258.00000,36728.00000,0.20263,2559.00000,0.01412
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Non-Hispanic White,2010-14,238200.00000,73703.00000,0.30942,5910.00000,0.02481
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,All,2000,303680.00000,43257.00000,0.14244,6825.00000,0.02247
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,All,2005-09,513772.00000,166086.00000,0.32327,4649.00000,0.00905
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,All,2010-14,737132.00000,371130.00000,0.50348,49908.00000,0.06771
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Black,2000,117280.00000,27840.00000,0.23738,5671.00000,0.04835
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Black,2005-09,209695.00000,76703.00000,0.36578,2552.00000,0.01217
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Black,2010-14,306030.00000,181830.00000,0.59416,28113.00000,0.09186
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Hispanic,2000,44534.00000,7350.00000,0.16504,458.00000,0.01028
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Hispanic,2005-09,107832.00000,50301.00000,0.46648,714.00000,0.00662
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Hispanic,2010-14,158357.00000,99799.00000,0.63022,12373.00000,0.07813
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Non-Hispanic White,2000,123345.00000,6268.00000,0.05082,610.00000,0.00495
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Non-Hispanic White,2005-09,168695.00000,33403.00000,0.19801,1358.00000,0.00805
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Non-Hispanic White,2010-14,226097.00000,68817.00000,0.30437,4511.00000,0.01995
12260,"Augusta-Richmond County, GA-SC",City,All,2000,36317.00000,21948.00000,0.60435,8125.00000,0.22372
12260,"Augusta-Richmond County, GA-SC",City,All,2005-09,40301.00000,29168.00000,0.72375,12031.00000,0.29853
12260,"Augusta-Richmond County, GA-SC",City,All,2010-14,47982.00000,36105.00000,0.75247,11376.00000,0.23709
12260,"Augusta-Richmond County, GA-SC",City,Black,2000,24581.00000,17107.00000,0.69594,7376.00000,0.30007
12260,"Augusta-Richmond County, GA-SC",City,Black,2005-09,27638.00000,22096.00000,0.79948,10401.00000,0.37633
12260,"Augusta-Richmond County, GA-SC",City,Black,2010-14,32380.00000,26798.00000,0.82761,9343.00000,0.28854
12260,"Augusta-Richmond County, GA-SC",City,Hispanic,2000,979.00000,591.00000,0.60368,135.00000,0.13790
12260,"Augusta-Richmond County, GA-SC",City,Hispanic,2005-09,1271.00000,652.00000,0.51298,127.00000,0.09992
12260,"Augusta-Richmond County, GA-SC",City,Hispanic,2010-14,2385.00000,1196.00000,0.50147,285.00000,0.11950
12260,"Augusta-Richmond County, GA-SC",City,Non-Hispanic White,2000,9673.00000,4098.00000,0.42365,617.00000,0.06379
12260,"Augusta-Richmond County, GA-SC",City,Non-Hispanic White,2005-09,10224.00000,5919.00000,0.57893,1340.00000,0.13106
12260,"Augusta-Richmond County, GA-SC",City,Non-Hispanic White,2010-14,11414.00000,7235.00000,0.63387,1548.00000,0.13562
12260,"Augusta-Richmond County, GA-SC",Metro,All,2000,75860.00000,34527.00000,0.45514,10283.00000,0.13555
12260,"Augusta-Richmond County, GA-SC",Metro,All,2005-09,88568.00000,49078.00000,0.55413,16025.00000,0.18093
12260,"Augusta-Richmond County, GA-SC",Metro,All,2010-14,109837.00000,74967.00000,0.68253,18432.00000,0.16781
12260,"Augusta-Richmond County, GA-SC",Metro,Black,2000,45786.00000,26594.00000,0.58083,9357.00000,0.20436
12260,"Augusta-Richmond County, GA-SC",Metro,Black,2005-09,50557.00000,34992.00000,0.69213,13850.00000,0.27395
12260,"Augusta-Richmond County, GA-SC",Metro,Black,2010-14,59357.00000,47558.00000,0.80122,14478.00000,0.24391
12260,"Augusta-Richmond County, GA-SC",Metro,Hispanic,2000,2186.00000,781.00000,0.35727,200.00000,0.09149
12260,"Augusta-Richmond County, GA-SC",Metro,Hispanic,2005-09,4187.00000,1372.00000,0.32768,299.00000,0.07141
12260,"Augusta-Richmond County, GA-SC",Metro,Hispanic,2010-14,7863.00000,4104.00000,0.52194,763.00000,0.09704
12260,"Augusta-Richmond County, GA-SC",Metro,Non-Hispanic White,2000,25991.00000,6917.00000,0.26613,778.00000,0.02993
12260,"Augusta-Richmond County, GA-SC",Metro,Non-Hispanic White,2005-09,31446.00000,12178.00000,0.38727,1736.00000,0.05521
12260,"Augusta-Richmond County, GA-SC",Metro,Non-Hispanic White,2010-14,38636.00000,21275.00000,0.55065,2771.00000,0.07172
