cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
12580,"Baltimore-Columbia-Towson, MD",Suburb,Black,0.05583,Increase,0.01184,No Change,0.06767,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
12580,"Baltimore-Columbia-Towson, MD",Suburb,Hispanic,0.00437,No Change,0.10102,Increase,0.10540,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
12580,"Baltimore-Columbia-Towson, MD",Suburb,Non-Hispanic White,0.05107,Increase,0.00448,No Change,0.05555,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
12940,"Baton Rouge, LA",City,All,-0.01673,No Change,0.00605,No Change,-0.01068,No Change,0.23159,Increase,-0.19768,Decrease,0.03391,Increase
12940,"Baton Rouge, LA",City,Black,-0.03492,No Change,0.00560,No Change,-0.02931,No Change,0.29202,Increase,-0.30455,Decrease,-0.01252,No Change
12940,"Baton Rouge, LA",City,Hispanic,-0.13096,No Change,-0.05918,No Change,-0.19014,No Change,-0.15968,No Change,0.16931,No Change,0.00963,No Change
12940,"Baton Rouge, LA",City,Non-Hispanic White,-0.01035,No Change,0.09017,No Change,0.07982,No Change,0.00695,No Change,0.15058,Increase,0.15753,Increase
12940,"Baton Rouge, LA",Metro,All,-0.06995,Decrease,0.03644,No Change,-0.03351,No Change,0.13147,Increase,-0.11955,Decrease,0.01192,Increase
12940,"Baton Rouge, LA",Metro,Black,-0.08224,Decrease,0.03341,No Change,-0.04883,No Change,0.19973,Increase,-0.19277,Decrease,0.00695,No Change
12940,"Baton Rouge, LA",Metro,Hispanic,-0.17603,No Change,0.14326,No Change,-0.03277,No Change,-0.05873,No Change,0.00914,No Change,-0.04960,Decrease
12940,"Baton Rouge, LA",Metro,Non-Hispanic White,-0.02850,No Change,0.08670,Increase,0.05820,Increase,0.02157,Increase,0.00330,No Change,0.02486,Increase
12940,"Baton Rouge, LA",Suburb,All,-0.10118,Decrease,0.07780,Increase,-0.02338,No Change,0.06829,Increase,-0.05242,Decrease,0.01587,Increase
12940,"Baton Rouge, LA",Suburb,Black,-0.13617,Decrease,0.07888,No Change,-0.05730,No Change,0.10156,Increase,-0.06949,Decrease,0.03206,Increase
12940,"Baton Rouge, LA",Suburb,Hispanic,-0.11894,No Change,0.21846,No Change,0.09953,No Change,0.05116,No Change,-0.05116,No Change,0.00000,No Change
12940,"Baton Rouge, LA",Suburb,Non-Hispanic White,-0.02270,No Change,0.09104,Increase,0.06834,Increase,0.03044,Increase,-0.03044,Decrease,0.00000,No Change
13820,"Birmingham-Hoover, AL",City,All,0.00473,No Change,0.08174,No Change,0.08646,Increase,0.04616,Increase,0.12560,Increase,0.17176,Increase
13820,"Birmingham-Hoover, AL",City,Black,0.00648,No Change,0.04764,No Change,0.05412,No Change,0.05373,Increase,0.15704,Increase,0.21076,Increase
13820,"Birmingham-Hoover, AL",City,Hispanic,-0.06741,No Change,0.34547,No Change,0.27806,No Change,-0.11598,No Change,0.06119,No Change,-0.05479,No Change
13820,"Birmingham-Hoover, AL",City,Non-Hispanic White,0.09378,No Change,0.20409,Increase,0.29787,Increase,0.08682,No Change,-0.01150,No Change,0.07532,Increase
13820,"Birmingham-Hoover, AL",Metro,All,-0.00734,No Change,0.12851,Increase,0.12117,Increase,0.00886,No Change,0.03847,Increase,0.04733,Increase
13820,"Birmingham-Hoover, AL",Metro,Black,-0.01673,No Change,0.03942,No Change,0.02269,No Change,0.01642,No Change,0.09721,Increase,0.11363,Increase
13820,"Birmingham-Hoover, AL",Metro,Hispanic,0.02171,No Change,0.32803,Increase,0.34974,Increase,-0.03257,No Change,0.01782,No Change,-0.01474,No Change
13820,"Birmingham-Hoover, AL",Metro,Non-Hispanic White,0.02598,Increase,0.23307,Increase,0.25906,Increase,0.01358,Increase,-0.00080,No Change,0.01278,Increase
13820,"Birmingham-Hoover, AL",Suburb,All,0.00333,No Change,0.20831,Increase,0.21165,Increase,-0.00948,Decrease,0.01872,Increase,0.00924,Increase
13820,"Birmingham-Hoover, AL",Suburb,Black,-0.02023,No Change,0.08816,Increase,0.06793,Increase,-0.03470,Decrease,0.04850,Increase,0.01381,No Change
13820,"Birmingham-Hoover, AL",Suburb,Hispanic,0.09393,Increase,0.33655,Increase,0.43048,Increase,0.00566,No Change,0.00996,No Change,0.01562,No Change
13820,"Birmingham-Hoover, AL",Suburb,Non-Hispanic White,0.00944,No Change,0.24910,Increase,0.25855,Increase,0.00096,No Change,0.00575,Increase,0.00671,Increase
14260,"Boise City, ID",City,All,0.35394,Increase,0.06477,No Change,0.41871,Increase,0.00000,#DIV/0!,0.13323,Increase,0.13323,Increase
14260,"Boise City, ID",City,Black,0.59733,No Change,-0.05966,No Change,0.53767,Increase,0.00000,#DIV/0!,0.43810,Increase,0.43810,Increase
14260,"Boise City, ID",City,Hispanic,0.53848,Increase,-0.09171,No Change,0.44677,Increase,0.00000,#DIV/0!,0.22594,Increase,0.22594,Increase
14260,"Boise City, ID",City,Non-Hispanic White,0.29950,Increase,0.10124,Increase,0.40074,Increase,0.00000,#DIV/0!,0.09155,Increase,0.09155,Increase
14260,"Boise City, ID",Metro,All,0.18634,Increase,0.14514,Increase,0.33147,Increase,0.02520,Increase,0.07639,Increase,0.10159,Increase
14260,"Boise City, ID",Metro,Black,0.36527,No Change,0.16020,No Change,0.52547,Increase,0.00000,No Change,0.40340,Increase,0.40340,Increase
14260,"Boise City, ID",Metro,Hispanic,0.22057,Increase,0.19442,Increase,0.41499,Increase,0.05544,Increase,0.09100,Increase,0.14645,Increase
14260,"Boise City, ID",Metro,Non-Hispanic White,0.15757,Increase,0.13257,Increase,0.29015,Increase,0.01542,Increase,0.06484,Increase,0.08026,Increase
14260,"Boise City, ID",Suburb,All,0.10376,Increase,0.19075,Increase,0.29450,Increase,0.03755,Increase,0.05140,Increase,0.08895,Increase
14260,"Boise City, ID",Suburb,Black,-0.08333,No Change,0.51773,No Change,0.43440,No Change,0.00000,No Change,0.14894,No Change,0.14894,No Change
14260,"Boise City, ID",Suburb,Hispanic,0.15363,Increase,0.25890,Increase,0.41253,Increase,0.06833,Increase,0.06220,Increase,0.13053,Increase
14260,"Boise City, ID",Suburb,Non-Hispanic White,0.07426,Increase,0.16604,Increase,0.24029,Increase,0.02447,Increase,0.05076,Increase,0.07522,Increase
14460,"Boston-Cambridge-Newton, MA-NH",City,All,0.03958,Increase,0.08443,Increase,0.12401,Increase,0.04974,Increase,-0.00258,No Change,0.04717,Increase
14460,"Boston-Cambridge-Newton, MA-NH",City,Black,0.05625,No Change,0.07547,No Change,0.13172,Increase,0.09823,Increase,-0.03692,Decrease,0.06131,Increase
